Tokenizer name,HF Name,inherits from,diff from parent,Tokenization Method,Implementation,Reported Vocab Size,Vocab Size,Learnable Vocab Size,Special Characters,Byte-fallback,OOV Handling,Languages,Multi-lingual,Pretokenization Splits,Numbers,Contractions,Leading Token Is,Unicode Normalization,Continuation,Script Coverage,Whitespace Treatment,Zerowidth chars,Turkish special chars,Accents/Diacriticts,Release Date
Qwen-Qwen3-8B,Qwen/Qwen3-8B,,,BPE,,"151,646",151669,151643,"<|endoftext|>, <|endoftext|>, ['<|im_start|>', '<|im_end|>', '<|object_ref_start|>', '<|object_ref_end|>', '<|box_start|>', '<|box_end|>', '<|quad_start|>', '<|quad_end|>', '<|vision_start|>', '<|vision_end|>', '<|vision_pad|>', '<|image_pad|>', '<|video_pad|>']",yes,,,,"
GPT-4 without grouping numbers",Split,GPT-4,Subsequence,NFC,,,Learned,preserved (new token),preserved,,
tiktoken-gpt-4o,tiktoken/gpt-4o,,,BPE,TikToken,200000,200019,200017,"<|endoftext|>, <|endofprompt|>",,,,,GPT-4 but the contractions are keep as part of the word,Group by 3,Learned,Subsequence,None,,,Learned,preserved (new token),preserved,,
tokenmonster-englishcode-32000-consistent-v1,tokenmonster/englishcode-32000-consistent-v1,,,Custom,,32000,31886,,None,,,,,None,Learned,Learned,Special D token,NFD,,,Learned,preserved (new token),"preserved, diacritics normalized, - tokenmonster has üö, çş are decomposed -> upper case versions are not available in the vocab -> they are normalized to small case",,
facebook-xglm-564m,facebook/xglm-564M,,,Unigram,SentencePiece,,256008,255997,"<s>, </s>, <unk>, </s>, <pad>, <s>, ['<madeupword0>', '<madeupword1>', '<madeupword2>', '<madeupword3>', '<madeupword4>', '<madeupword5>', '<madeupword6>']",no,,,,Split on ▁,Group Learned,Learned,Start,NFKC,,,Normalized,Normalized/removed,preserved,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Meanings,Meanings,,,,Meanings,,,,
,,,,,,,,,,,,,,,,"GPT-2: A select number of english contractions ('s, 'd, 'm, 't, 'll, 've, 're) are manually split into their own tokens. The learning algorithm then decides if they should be their own token or if it should be broken down futher. This makes it impossible to have a token like I'll","Start: The tokenizer special handles the start of a sequence so that the token used is unified with the version of that same string that starts as word, e.g. ""the quick"" uses the same token as ""... in the...""",,,,Byte: The tokenizer just uses bytes for everything so all the whitespaces are represented exactly as they are.,,,,
,,,,,,,,,,,,,,,,"GPT-4: Works the same as GPT-2, splits the same contractions","Subsequence: A word at the start of a sequence's token is unified with the token when that string is part of a word. e.g. ""[the] ... chrysan[the]mum""",,,,"Normalized: Whitespace like "" "", ""\r"", ""\n"", as well as multiple in a row are normalized to a single space. This stops the tokenizer from being able to understand formatted code.",,,,
,,,,,,,,,,,,,,,,"GPT-4o: Works the same as GPT-4, but the contractions are kept as part of the word","Special D token: The first token is a special D token, sometimes it is DC when the start is capitalized, and sometimes it is part of the first token.",,,,"Individual: Whitespace is preserved, but each individual whitespace character is represented as it's own token.",,,,
,,,,,,,,,,,,,,,,"Learned: Contractions are NOT manually split from the base word. This lets the learning algorithm decide if the contraction should be it's own token or a composition. For example, bloom has 't, n't, and don't as individual tokens, but shan't is split into shan 't",,,,,"Manual: Whitespace is preserved, but manual whitespace tokens are created that represent different amounts of whitespace.",,,,
,,,,,,,,,,,,,,,,"Composed: The pretokenization splits all contractions into multiple tokens (base, apostrophe, and contraction) which cannot be merged back together in the learning algorithm",,,,,Learned: Whitespace is preserved and the learning algorithm decides how to group them into individual tokens.,,,,
